author,university,thesis_count,years,thesis_types,tez_nos,titles
BARIŞ HASDEMİR,Istanbul Technical University,1,2026,Yüksek Lisans,1000338,Exposing data leakage in ligand binding site prediction / Ligand bağlanma bölges
BÜŞRA KAYA,Istanbul Technical University,1,2026,Yüksek Lisans,999914,R&D expenditures and productivity under financial conditions: Static and dynamic
ELİF ÖZTÜRK KOÇ,Istanbul Technical University,1,2026,Yüksek Lisans,1000097,Automotive radar interference mitigation with next generation sequence models / 
HADI ALIZADEH,Istanbul Technical University,1,2026,Yüksek Lisans,1000786,Machine learning based TBM performance prediction / Makine öğrenimi bazlı TBM pe
HASAN EFEKAN BİLEN,Istanbul Technical University,1,2026,Yüksek Lisans,1000058,Construction dispute resolution in the age of AI: Bridging the gap between engin
HESAM HATAMZADEH KHANGHAHI,Istanbul Technical University,1,2026,Yüksek Lisans,1000409,Automated plastic waste detection and visualization in coastal areas using UAVs 
MOHAMMAD MOBADERSANI,Istanbul Technical University,1,2026,Yüksek Lisans,1000067,Artificial intelligence driven arbitration: A new approach for efficient arbitra
SALİHCAN KARAMAN,Istanbul Technical University,1,2026,Yüksek Lisans,1000030,Uzaktan çok kaynaklı ölçümler yoluyla varlık verilerinin güvenilirliği / Uzaktan
KAAN KARA,Istanbul University,1,2026,Yüksek Lisans,1001409,Makine öğrenmesi ile kardiyovasküler risk skorunun belirlenmesi / Determination 
MELİSA ÇELEBİ,Istanbul University,1,2026,Yüksek Lisans,1001131,Glikoz algılaması için yeni enzimatik olmayan elektrokimyasal bionanosensör üret
MESUT SEZER,Istanbul University,1,2026,Yüksek Lisans,1001347,Aeroderivatif gaz türbinlerinin optimum yük hesaplaması ve şebeke frekans stabil
YASEMİN ÇELİK,Istanbul University,1,2026,Yüksek Lisans,1001356,Karışık endüstriyel atıksu karakterizasyonunun zamansal değişiminin belirlenmesi
ZELİHA DOĞAN ERSOY,Istanbul University,1,2026,Doktora,1000388,Görüntü işleme ve derin öğrenme yöntemleri kullanarak enerji nakil hatlarında an
MUHAMMET NUSRET ÖZATEŞ,Koç University,1,2026,Yüksek Lisans,999801,Context-aware graph neural networks for whole slide image classification / Bütün
UFUK ALTUN,Koç University,1,2026,Doktora,999816,Adaptive physical layer security with machine learning: From detection to defens
ABDUALLAH DAMASH,Middle East Technical University,1,2026,Yüksek Lisans,1000804,A reliable alzheimer\'s disease classification system using a structural MRI dat
BÜŞRA GÜLKÜBRA EKİNCİ,Middle East Technical University,1,2026,Yüksek Lisans,1000941,The European Union AI act and its implications for human resource management: Le
GÖRKEM ARIN,Middle East Technical University,1,2026,Yüksek Lisans,1000967,Comparison of quantum neural network training algorithms / Kuantum sinir ağı eği
KEREM YAŞAR,Middle East Technical University,1,2026,Yüksek Lisans,1001365,Cough detection in spirometry using convolutional neural network with spatial at
ULAŞ KARACA,Middle East Technical University,1,2026,Yüksek Lisans,1000954,The military AI competition between the United States and China: Is it an arms r
AYŞENUR AĞAOĞLU İŞSEVER,Yıldız Technical University,1,2026,Doktora,1001016,Yapay zekâ ve uzman temelli program geliştirme süreçlerinin karşılaştırılması: T
BEYZA NUR OTURAK,Yıldız Technical University,1,2026,Yüksek Lisans,1000984,Okul öncesi öğretmenlerinin sınıf içi etkinliklerde yapay zekâ kullanımına ilişk
ECE ÖZER ÇİZER,Yıldız Technical University,1,2026,Doktora,1001229,E-atıkların elden çıkarılması ve geri kazanılması üzerine sürdürülebilir bir mod
