tez_no,thesis_key,encrypted_no,author,year,title,title_en,title_tr,university,university_raw,language,thesis_type,subject,advisor,institute,department,keywords,abstract,pdf_available
33HbQy5IarHSP9fTEp_ltw,33HbQy5IarHSP9fTEp_ltw,QL_DkgYnP5keCgmagWR7Ow,OSMAN MERT TOSUN,2026,"Customer network experience modeling: Network KPI-based scoring in the context of complaints / Sentiment analysis in oncology texts: Revealing patient emotions and providing health insights through a comparative investigation of machine learning, deep learning, and transformer models",Customer network experience modeling: Network KPI-based scoring in the context of complaints,"Sentiment analysis in oncology texts: Revealing patient emotions and providing health insights through a comparative investigation of machine learning, deep learning, and transformer models",Istanbul Technical University,İSTANBUL TEKNİK ÜNİVERSİTESİ /,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol,,,,,,false
BAWpqCdSymzcfiQKQFfcTQ,BAWpqCdSymzcfiQKQFfcTQ,ZM5d7lXMRDrrFJD9fDGkkA,BÜŞRA ŞENEL KAHYAOĞLU,2026,Kalp hastalıklarının erken teşhisi için makine öğrenmesi algoritmalarının karşılaştırmalı performans analizi / Yemen'deki kolera salginlari için risk faktörlerini öngörmede makine öğrenmesinin kullanimi,Kalp hastalıklarının erken teşhisi için makine öğrenmesi algoritmalarının karşılaştırmalı performans analizi,Yemen'deki kolera salginlari için risk faktörlerini öngörmede makine öğrenmesinin kullanimi,Yıldız Technical University,YILDIZ TEKNİK ÜNİVERSİTESİ /,Türkçe,Yüksek Lisans,İstatistik;Matematik,,,,,,false
bIzubqzGAtsOD71xCYP_lg,bIzubqzGAtsOD71xCYP_lg,t08hFUPrDntLua1VD-DXIQ,SERCAN GER,2026,Veri madenciliği yöntemiyle dijital dönüşüm projelerinin risk ve başarısının incelenmesi: otomotiv sektörü örneği / <strong>Tez No:</strong> 1002717,Veri madenciliği yöntemiyle dijital dönüşüm projelerinin risk ve başarısının incelenmesi: otomotiv sektörü örneği,<strong>Tez No:</strong> 1002717,Yıldız Technical University,YILDIZ TEKNİK ÜNİVERSİTESİ /,Türkçe,Yüksek Lisans,Endüstri ve Endüstri Mühendisliği,,,,,,false
-7ttVTfRF4eezkJzWxj1qg,-7ttVTfRF4eezkJzWxj1qg,kfyIfvTN3gxPadWEV4l2-w,KAAN KARA,2026,Makine öğrenmesi ile kardiyovasküler risk skorunun belirlenmesi / Makine öğrenmesi algoritmaları kullanarak Türkiye'de yabancılara konut satışlarının tahmin edilmesi,Makine öğrenmesi ile kardiyovasküler risk skorunun belirlenmesi,Makine öğrenmesi algoritmaları kullanarak Türkiye'de yabancılara konut satışlarının tahmin edilmesi,Istanbul University,İSTANBUL ÜNİVERSİTESİ /,Türkçe,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol;Kardiyoloji;Biyoistatistik,,,,,,false
frgi9SMjoVqcEBtR-saYCA,frgi9SMjoVqcEBtR-saYCA,fl8jPRP0_8UywBvnxqbbAA,HARUN GÜLEÇ,2026,Bulut saldırılarının LLM tabanlı tespiti: Saldırı tekniklerinin önceliklendirilmesi ve log veri seti oluşturulması / Makine öğrenimi kullanarak öğrenci akademik performans tahmini: bangladeş eğitim verileri üzerine bir örnek çalışma,Bulut saldırılarının LLM tabanlı tespiti: Saldırı tekniklerinin önceliklendirilmesi ve log veri seti oluşturulması,Makine öğrenimi kullanarak öğrenci akademik performans tahmini: bangladeş eğitim verileri üzerine bir örnek çalışma,Yıldız Technical University,YILDIZ TEKNİK ÜNİVERSİTESİ /,Türkçe,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol,,,,,,false
pFzrV8ZyJt--aWq2wH9Lkw,pFzrV8ZyJt--aWq2wH9Lkw,FJl5iIfdVthwL4LP7RNYcg,ATA KÖKLÜ,2026,A unified deep learning framework for scalable learning and uncertainty quantification in interval Type-2 fuzzy logic systems / <strong>Tez No:</strong> 1003780,A unified deep learning framework for scalable learning and uncertainty quantification in interval Type-2 fuzzy logic systems,<strong>Tez No:</strong> 1003780,Istanbul Technical University,İSTANBUL TEKNİK ÜNİVERSİTESİ /,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol,,,,,,false
qJ9jqMBSgHnSDaqNa61M9g,qJ9jqMBSgHnSDaqNa61M9g,41Emp16D2i4t5JLw5KnW8Q,MUHAMMED ÖMER TAYLAN,2026,Bridging causal discovery and graph neural networks: a comparative perspective / Determination of cardiovascular risk score with machine learning,Bridging causal discovery and graph neural networks: a comparative perspective,Determination of cardiovascular risk score with machine learning,Istanbul Technical University,İSTANBUL TEKNİK ÜNİVERSİTESİ /,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol,,,,,,false
hZcFHuICjqPFgPEISE7lZg,hZcFHuICjqPFgPEISE7lZg,9GjSbynjXA02QihmWm7Gmw,MAHMUT ARICAN,2026,Investigation of perpendicular blade-vortex interaction using computational fluid dynamics and machine learning / Modeling the wind energy potential of Karaman province using artificial intelligence methods and performance analysis of horizontal-vertical axis turbines,Investigation of perpendicular blade-vortex interaction using computational fluid dynamics and machine learning,Modeling the wind energy potential of Karaman province using artificial intelligence methods and performance analysis of horizontal-vertical axis turbines,Middle East Technical University,ORTA DOĞU TEKNİK ÜNİVERSİTESİ /,İngilizce,Yüksek Lisans,Havacılık ve Uzay Mühendisliği,,,,,,false
k4Am71s42q2cRcqvdhHTVg,k4Am71s42q2cRcqvdhHTVg,wooppjvujW1I5AQnQixByw,İZEL BOZDEMİR,2026,Kentsel katı atık toplama rotalarının graf tabanlı pekiştirmeli öğrenme ile optimizasyonu Kadıköy ilçesi örneği / <strong>Tez No:</strong> 1005908,Kentsel katı atık toplama rotalarının graf tabanlı pekiştirmeli öğrenme ile optimizasyonu Kadıköy ilçesi örneği,<strong>Tez No:</strong> 1005908,Istanbul Technical University,İSTANBUL TEKNİK ÜNİVERSİTESİ /,Türkçe,Yüksek Lisans,Bilim ve Teknoloji;Jeodezi ve Fotogrametri,,,,,,false
BUAgqRCmUgNIop1NJRUM4g,BUAgqRCmUgNIop1NJRUM4g,Ucoc9WYpOH_Zur0qhmYKNA,NİL ERDOĞAN,2026,Landslide susceptibility mapping of the muş-bingöl region: A comparative analysis and optimization of machine learning models / Novel LLM-Based detection of cloud attacks: Ranking attack techniques and building a log dataset framework,Landslide susceptibility mapping of the muş-bingöl region: A comparative analysis and optimization of machine learning models,Novel LLM-Based detection of cloud attacks: Ranking attack techniques and building a log dataset framework,Middle East Technical University,ORTA DOĞU TEKNİK ÜNİVERSİTESİ /,İngilizce,Yüksek Lisans,Jeoloji Mühendisliği,,,,,,false
x8xh4fbO7diTxD5jsCx9xA,x8xh4fbO7diTxD5jsCx9xA,p2zzZf4MbVMHOdH62OeLtA,YASEMİN ÇELİK,2026,Karışık endüstriyel atıksu karakterizasyonunun zamansal değişiminin belirlenmesi ve kirleticilerin istatistiksel değerlendirilmesi / <strong>Tez No:</strong> 1005890,Karışık endüstriyel atıksu karakterizasyonunun zamansal değişiminin belirlenmesi ve kirleticilerin istatistiksel değerlendirilmesi,<strong>Tez No:</strong> 1005890,Istanbul University,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA /,Türkçe,Yüksek Lisans,Çevre Mühendisliği,,,,,,false
saDog8SA0f7v3e55tMH08g,saDog8SA0f7v3e55tMH08g,3AO-FNAQ9f20dU9TG7NLRA,BATUHAN AKDOĞAN,2026,A federated learning approach for inter-cell handover optimisation in open 6G ran / <strong>Tez No:</strong> 996961,A federated learning approach for inter-cell handover optimisation in open 6G ran,<strong>Tez No:</strong> 996961,Istanbul Technical University,İSTANBUL TEKNİK ÜNİVERSİTESİ /,İngilizce,Yüksek Lisans,Elektrik ve Elektronik Mühendisliği,,,,,,false
GSBoA67w-JfvWYjVSyyLzA,GSBoA67w-JfvWYjVSyyLzA,I6ZXA6X1DlfvM8GBXPa-tA,GÖRKEM ARIN,2026,Comparison of quantum neural network training algorithms / Dik kanat-girdap etkileşiminin hesaplamalı akışkanlar dinamiği ve makine öğrenmesi kullanılarak incelenmesi,Comparison of quantum neural network training algorithms,Dik kanat-girdap etkileşiminin hesaplamalı akışkanlar dinamiği ve makine öğrenmesi kullanılarak incelenmesi,Middle East Technical University,ORTA DOĞU TEKNİK ÜNİVERSİTESİ /,İngilizce,Yüksek Lisans,Elektrik ve Elektronik Mühendisliği,,,,,,false
M9LndFWm26z-5swGeb19Bw,M9LndFWm26z-5swGeb19Bw,PtPngOZ0sFpH0ML6gaqJnw,HADI ALIZADEH,2026,Machine learning based TBM performance prediction / <strong>Tez No:</strong> 1001657,Machine learning based TBM performance prediction,<strong>Tez No:</strong> 1001657,Istanbul Technical University,İSTANBUL TEKNİK ÜNİVERSİTESİ /,İngilizce,Yüksek Lisans,Maden Mühendisliği ve Madencilik,,,,,,false
C9diynTuTzZ8qMp3NtnhZg,C9diynTuTzZ8qMp3NtnhZg,VmR5b-Yk-hzAijBuoQPdXg,FATIMA IQBAL,2026,Restoring underwater images from turbidity and motion blur – a three-step framework / Satellite data supported global solar radiation prediction with xgboost algorithm,Restoring underwater images from turbidity and motion blur – a three-step framework,Satellite data supported global solar radiation prediction with xgboost algorithm,Istanbul Technical University,İSTANBUL TEKNİK ÜNİVERSİTESİ /,İngilizce,Yüksek Lisans,Bilim ve Teknoloji;Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol,,,,,,false
vHhKh7q9PlBzZ0PeHBTFiA,vHhKh7q9PlBzZ0PeHBTFiA,SK6llS5cz3g75XOI3EtNww,ESİN YİĞİT,2026,Prediction of surgical durations using machine learning methods / <strong>Tez No:</strong> 999144,Prediction of surgical durations using machine learning methods,<strong>Tez No:</strong> 999144,Middle East Technical University,ORTA DOĞU TEKNİK ÜNİVERSİTESİ /,İngilizce,Yüksek Lisans,Mühendislik Bilimleri,,,,,,false
p_wGsXetFvlzU6Aw9OG3sA,p_wGsXetFvlzU6Aw9OG3sA,z8VavRwtcQnBzFOfoXqj0w,SEÇKİN BERKAY ÖZTÜRK,2026,Optimizing laser wakefield accelerator with genetic and machine learning methods / <strong>Tez No:</strong> 997276,Optimizing laser wakefield accelerator with genetic and machine learning methods,<strong>Tez No:</strong> 997276,Middle East Technical University,ORTA DOĞU TEKNİK ÜNİVERSİTESİ /,İngilizce,Yüksek Lisans,Fizik ve Fizik Mühendisliği,,,,,,false
QrVNxr4mkukfIlEV7w1fzQ,QrVNxr4mkukfIlEV7w1fzQ,7wZR5JnbbhP_L3joT5Z35Q,BUĞRA ÖZTÜRK,2026,Overlapping region-driven sample generation for imbalanced learning / <strong>Tez No:</strong> 1001608,Overlapping region-driven sample generation for imbalanced learning,<strong>Tez No:</strong> 1001608,Middle East Technical University,ORTA DOĞU TEKNİK ÜNİVERSİTESİ /,İngilizce,Yüksek Lisans,Endüstri ve Endüstri Mühendisliği,,,,,,false
x387AC5PrfGuD25g1VhZGA,x387AC5PrfGuD25g1VhZGA,uwDDw1qpugAAG-ALdLyUoQ,PINAR HAZAN,2026,Optical tracklet simulation for space surveillance and tracking / The impact of artificial intelligence applications in corporate communications on corporate culture,Optical tracklet simulation for space surveillance and tracking,The impact of artificial intelligence applications in corporate communications on corporate culture,Hacettepe University,HACETTEPE ÜNİVERSİTESİ /,İngilizce,Yüksek Lisans,Jeodezi ve Fotogrametri,,,,,,false
19R2x3gNAD3dARzvfbecuA,19R2x3gNAD3dARzvfbecuA,02dLx2BdUALyZsL2xxEF2A,MUHAMMED ONUR ULU,2026,Tıbbi görevler için çok modlu büyük dil modellerinin performansının iyileştirilmesi / <strong>Tez No:</strong> 996950,Tıbbi görevler için çok modlu büyük dil modellerinin performansının iyileştirilmesi,<strong>Tez No:</strong> 996950,Yıldız Technical University,YILDIZ TEKNİK ÜNİVERSİTESİ /,Türkçe,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol,,,,,,false
BIJQknhY7a5rLQly3eefrQ,BIJQknhY7a5rLQly3eefrQ,i-X4b3scJzyxVSC2_E-B0Q,ENGİN DENİZ ERKAN,2026,A data driven framework for surface roughness prediction in additive manufacturing / <strong>Tez No:</strong> 1004400,A data driven framework for surface roughness prediction in additive manufacturing,<strong>Tez No:</strong> 1004400,Middle East Technical University,ORTA DOĞU TEKNİK ÜNİVERSİTESİ /,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol;Makine Mühendisliği,,,,,,false
VIhXNaTvE2leihbtPphD0w,VIhXNaTvE2leihbtPphD0w,Unrj9qKNLWyUUjWm4RgWQA,ALİ AKSU,2026,In silico design toward the development of MAO-B selective covalent inhibitors based on rasagiline / Sign language letter recognition and performance analysis using machine learning methods,In silico design toward the development of MAO-B selective covalent inhibitors based on rasagiline,Sign language letter recognition and performance analysis using machine learning methods,Istanbul Technical University,İSTANBUL TEKNİK ÜNİVERSİTESİ /,İngilizce,Yüksek Lisans,Kimya,,,,,,false
