author,university,thesis_count,years,thesis_types,tez_nos,titles
ÜMİT ARSLAN,Hacettepe University,1,2026,Doktora,1001778,Türk kamu personel seçim sisteminin analizi ve yapay zekâ tabanlı bir model öner
MEHMET ANIL GÜLŞAN,Istanbul Technical University,1,2026,Doktora,1001824,Multi-objective optimization of swirl burner with premixed ammonia/hydrogen flam
ÖMER AKBAL,Istanbul Technical University,1,2026,Doktora,1001616,Integrated CFD-based reduced-order modeling for ice accretion and aerodynamic pe
HATİCE BAHAR ATALI,Istanbul University,1,2026,Doktora,1001895,Sert x-ışınlarında belirlenen galaksi kümelerinin optik özellikleri / Optical pr
HAVVANUR BOZÖMEROĞLU,Istanbul University,1,2026,Yüksek Lisans,1001638,Savaş alanında durumsal farkındalık için yapay zeka destekli veri füzyonu / Arti
MOSAB ABOIDREES ALTRAIFI YOUSIF,Istanbul University,1,2026,Doktora,1001492,Motor görüntü elektroensefalografi sinyallerinin zaman-frekans alanı analizine d
WASIM MOHAMMED ABDALLAH ALNAJJAR,Istanbul University,1,2026,Yüksek Lisans,1002272,Bulut güvenliğini sağlama: bulut bilişim ortamlarında siber güvenliği artırmaya 
ABDULLAH NURİ SOMUNCUOĞLU,Middle East Technical University,1,2026,Doktora,1001599,Development of explaınable artıfıcıal ıntellıgence model for bıomedıcal survıval
EZGİ ÇAVAŞ,Middle East Technical University,1,2026,Yüksek Lisans,1001594,Fine-tuning medical large language models for differential diagnosis: from synth
KEREM DOLKAY,Middle East Technical University,1,2026,Yüksek Lisans,1001872,Weakly supervised classification for breast cancer grading using smartphone-base
MAHMUT ARICAN,Middle East Technical University,1,2026,Yüksek Lisans,1001884,Investigation of perpendicular blade-vortex interaction using computational flui
NİL ERDOĞAN,Middle East Technical University,1,2026,Yüksek Lisans,1001608,Landslide susceptibility mapping of the muş-bingöl region: A comparative analysi
CEM ÇAĞLAYAN,Yıldız Technical University,1,2026,Yüksek Lisans,1002178,Türkiye\'nin kuzeybatı bölgesinde makine öğrenimi algoritmaları ile deprem konum
FARUK DİKMEN,Yıldız Technical University,1,2026,Doktora,1001926,Çok amaçlı modelleme araçları ile atık su arıtma tesislerinin performans değerle
HARUN GÜLEÇ,Yıldız Technical University,1,2026,Yüksek Lisans,1001938,Bulut saldırılarının LLM tabanlı tespiti: Saldırı tekniklerinin önceliklendirilm
